Data operacji,Opis,Kwota transakcji,Saldo po operacji
2015-02-04,PRZELEW OBCI¥¯ENIOWY (NADANO 04-02-2015) COS DO PLACENIA  UPC  WOJSKA CZESKIEGO 43 BRNO 01138520619179435026197937,-623,4276.00
2015-02-04,PRZELEW OBCI¥¯ENIOWY (NADANO 04-02-2015) COS DO PLACENIA  TAURON  WOJSKA CZESKIEGO 43 BRNO 25184234556202300926691943,-426,4702.00
2015-02-06,PRZELEW OBCI¥¯ENIOWY (NADANO 06-02-2015) COS DO PLACENIA  UPC  WOJSKA CZESKIEGO 43 BRNO 72815381180738201720388264,-373,5075.00
2015-02-06,PRZELEW UZNANIOWY (NADANO 06-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  HENRYK CHOLERAWIECKI  WOJSKA CZESKIEGO 43 BRNO 90136284217560055799742133,64,5011.00
2015-02-07,PRZELEW UZNANIOWY (NADANO 07-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  HENRYK KOWALSKI  WOJSKA CZESKIEGO 43 BRNO 00816307852684960295587157,16,4995.00
2015-02-09,PRZELEW UZNANIOWY (NADANO 09-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  STANIS£AW WARSZAWSKI  WOJSKA CZESKIEGO 43 BRNO 21422767594561887203070115,32,4963.00
2015-02-09,PRZELEW UZNANIOWY (NADANO 09-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  OKTAWIAN NOWAK  WOJSKA CZESKIEGO 43 BRNO 94517625571068081239101923,16,4947.00
2015-02-10,PRZELEW UZNANIOWY (NADANO 10-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  MICHA£ KOWALSKI  WOJSKA CZESKIEGO 43 BRNO 58357704398636482355571933,16,4931.00
2015-02-11,PRZELEW UZNANIOWY (NADANO 11-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  MICHA£ KOWALSKI  WOJSKA CZESKIEGO 43 BRNO 59700466134462914701706331,64,4867.00
2015-02-12,PRZELEW UZNANIOWY (NADANO 12-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  HENRYK CHOLERAWIECKI  WOJSKA CZESKIEGO 43 BRNO 70795481369867816147239794,32,4835.00
2015-02-13,PRZELEW UZNANIOWY (NADANO 13-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  BARTUŒ TESTOWSKI  WOJSKA CZESKIEGO 43 BRNO 81951121200396890958526395,64,4771.00
2015-02-14,PRZELEW UZNANIOWY (NADANO 14-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  HENRYK CHOLERAWIECKI  WOJSKA CZESKIEGO 43 BRNO 46406782406762648829089262,16,4755.00
2015-02-14,PRZELEW UZNANIOWY (NADANO 14-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  OKTAWIAN RYBSKI  WOJSKA CZESKIEGO 43 BRNO 94066443115595815725402164,128,4627.00
2015-02-15,PRZELEW UZNANIOWY (NADANO 15-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  BARTUŒ CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 14984172989291456289787709,128,4499.00
2015-02-15,PRZELEW UZNANIOWY (NADANO 15-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  MAREK OWCZAREK  WOJSKA CZESKIEGO 43 BRNO 03957827207746413767472596,64,4435.00
2015-02-17,PRZELEW UZNANIOWY (NADANO 17-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  MAREK NOWAK  WOJSKA CZESKIEGO 43 BRNO 45665035642911715230384133,64,4371.00
2015-02-18,PRZELEW UZNANIOWY (NADANO 18-02-2015) DAROWIZNA  MAREK OWCZAREK  WOJSKA CZESKIEGO 43 BRNO 01088426976069019907408218,434,3937.00
2015-02-20,PRZELEW UZNANIOWY (NADANO 20-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  MICHA£ KOWALSKI  WOJSKA CZESKIEGO 43 BRNO 12943341242135288821293547,64,3873.00
2015-02-21,PRZELEW UZNANIOWY (NADANO 21-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  DAWID RYBSKI  WOJSKA CZESKIEGO 43 BRNO 87854361131890513152033188,32,3841.00
2015-02-23,PRZELEW UZNANIOWY (NADANO 23-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  MICHA£ WARSZAWSKI  WOJSKA CZESKIEGO 43 BRNO 79469264292690589758654303,16,3825.00
2015-02-24,PRZELEW UZNANIOWY (NADANO 24-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  OKTAWIAN RYBSKI  WOJSKA CZESKIEGO 43 BRNO 75781275767885452059120113,32,3793.00
2015-02-24,PRZELEW UZNANIOWY (NADANO 24-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  £UKASZ WARSZAWSKI  WOJSKA CZESKIEGO 43 BRNO 00508385333262106773113026,16,3777.00
2015-02-25,PRZELEW UZNANIOWY (NADANO 25-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  STANIS£AW CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 05152374203607055437424852,32,3745.00
2015-02-27,PRZELEW OBCI¥¯ENIOWY (NADANO 27-02-2015) COS DO PLACENIA  LOKAL  WOJSKA CZESKIEGO 43 BRNO 55200026016826344311481591,-268,4013.00
2015-02-28,PRZELEW UZNANIOWY (NADANO 28-02-2015) DAROWIZNA  £UKASZ NOWAK  WOJSKA CZESKIEGO 43 BRNO 76498169632126764469545146,798,3215.00
2015-02-28,PRZELEW OBCI¥¯ENIOWY (NADANO 28-02-2015) COS DO PLACENIA  LOKAL  WOJSKA CZESKIEGO 43 BRNO 64577759591053677875118642,-810,4025.00
2015-03-01,PRZELEW UZNANIOWY (NADANO 01-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  PAWE£ KOWALSKI  WOJSKA CZESKIEGO 43 BRNO 28782511053127163497241831,16,4009.00
2015-03-02,PRZELEW UZNANIOWY (NADANO 02-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  PAWE£ NOWAK  WOJSKA CZESKIEGO 43 BRNO 26207508599574402846081479,128,3881.00
2015-03-02,PRZELEW UZNANIOWY (NADANO 02-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  £UKASZ NOWAK  WOJSKA CZESKIEGO 43 BRNO 93459732484908774973921170,32,3849.00
2015-03-04,PRZELEW UZNANIOWY (NADANO 04-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  STANIS£AW MARKOWSKI  WOJSKA CZESKIEGO 43 BRNO 53949973201426885855107685,16,3833.00
2015-03-04,PRZELEW UZNANIOWY (NADANO 04-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  BARTUŒ NOWAK  WOJSKA CZESKIEGO 43 BRNO 69155813216924186312402178,64,3769.00
2015-03-06,PRZELEW UZNANIOWY (NADANO 06-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  DAWID MARKOWSKI  WOJSKA CZESKIEGO 43 BRNO 31672206125428316659425532,32,3737.00
2015-03-07,PRZELEW UZNANIOWY (NADANO 07-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  OKTAWIAN RYBSKI  WOJSKA CZESKIEGO 43 BRNO 74538058641684781985668066,64,3673.00
2015-03-08,PRZELEW UZNANIOWY (NADANO 08-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  OKTAWIAN PROSTACKI  WOJSKA CZESKIEGO 43 BRNO 64622363628346838176727427,64,3609.00
2015-03-10,PRZELEW UZNANIOWY (NADANO 10-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  STANIS£AW WARSZAWSKI  WOJSKA CZESKIEGO 43 BRNO 53404680590132882042854019,128,3481.00
2015-03-12,PRZELEW UZNANIOWY (NADANO 12-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  OKTAWIAN RYBSKI  WOJSKA CZESKIEGO 43 BRNO 83021114436893412810547451,64,3417.00
2015-03-13,PRZELEW OBCI¥¯ENIOWY (NADANO 13-03-2015) COS DO PLACENIA  TAURON  WOJSKA CZESKIEGO 43 BRNO 40958725848181702279919847,-627,4044.00
2015-03-14,PRZELEW UZNANIOWY (NADANO 14-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  £UKASZ STAROWSKI  WOJSKA CZESKIEGO 43 BRNO 79017620861869435611705425,64,3980.00
2015-03-14,PRZELEW UZNANIOWY (NADANO 14-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  DAWID NOWAK  WOJSKA CZESKIEGO 43 BRNO 88469235057740578867933118,64,3916.00
2015-03-15,PRZELEW UZNANIOWY (NADANO 15-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  DAREK NOWAK  WOJSKA CZESKIEGO 43 BRNO 74548552366597125122262507,64,3852.00
2015-03-15,PRZELEW UZNANIOWY (NADANO 15-03-2015) DAROWIZNA  MICHA£ CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 52369248262637968446560188,298,3554.00
2015-03-16,PRZELEW UZNANIOWY (NADANO 16-03-2015) DAROWIZNA  MAREK NOWAK  WOJSKA CZESKIEGO 43 BRNO 28686312797488495053291808,678,2876.00
2015-03-18,PRZELEW UZNANIOWY (NADANO 18-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  OKTAWIAN PROSTACKI  WOJSKA CZESKIEGO 43 BRNO 56437069045307258294751725,16,2860.00
2015-03-20,PRZELEW UZNANIOWY (NADANO 20-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  STANIS£AW MARKOWSKI  WOJSKA CZESKIEGO 43 BRNO 67494524226837596226170432,64,2796.00
2015-03-22,PRZELEW OBCI¥¯ENIOWY (NADANO 22-03-2015) COS DO PLACENIA  UPC  WOJSKA CZESKIEGO 43 BRNO 58484158412991844672296611,-913,3709.00
2015-03-24,PRZELEW UZNANIOWY (NADANO 24-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  MICHA£ KOWALSKI  WOJSKA CZESKIEGO 43 BRNO 78066477518931257640213598,128,3581.00
2015-03-26,PRZELEW UZNANIOWY (NADANO 26-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  £UKASZ NOWAK  WOJSKA CZESKIEGO 43 BRNO 55332281443450090680107031,32,3549.00
2015-03-27,PRZELEW UZNANIOWY (NADANO 27-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  DAREK NOWAK  WOJSKA CZESKIEGO 43 BRNO 05761869608791765454889093,128,3421.00
2015-03-27,PRZELEW UZNANIOWY (NADANO 27-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  BARTUŒ CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 12788407653705877523629677,128,3293.00
2015-03-28,PRZELEW UZNANIOWY (NADANO 28-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  STANIS£AW OWCZAREK  WOJSKA CZESKIEGO 43 BRNO 74350168180824882667763289,16,3277.00
2015-03-29,PRZELEW UZNANIOWY (NADANO 29-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  OKTAWIAN NOWAK  WOJSKA CZESKIEGO 43 BRNO 87118549359631871851217380,64,3213.00
2015-03-30,PRZELEW OBCI¥¯ENIOWY (NADANO 30-03-2015) COS DO PLACENIA  TAURON  WOJSKA CZESKIEGO 43 BRNO 72751162927640414338193281,-963,4176.00
2015-03-31,PRZELEW UZNANIOWY (NADANO 31-03-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 03-2015  STANIS£AW CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 77076045571337873082417550,128,4048.00
2015-04-02,PRZELEW UZNANIOWY (NADANO 02-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  £UKASZ STAROWSKI  WOJSKA CZESKIEGO 43 BRNO 76046176153952994693611002,64,3984.00
2015-04-02,PRZELEW UZNANIOWY (NADANO 02-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  STANIS£AW CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 85561918395994142178742156,64,3920.00
2015-04-02,PRZELEW UZNANIOWY (NADANO 02-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  MICHA£ CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 71932777403045137928529067,16,3904.00
2015-04-03,PRZELEW UZNANIOWY (NADANO 03-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  MAREK STAROWSKI  WOJSKA CZESKIEGO 43 BRNO 65872367661263798527247795,64,3840.00
2015-04-05,PRZELEW UZNANIOWY (NADANO 05-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  OKTAWIAN RYBSKI  WOJSKA CZESKIEGO 43 BRNO 73851922074338721332149926,128,3712.00
2015-04-05,PRZELEW UZNANIOWY (NADANO 05-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  HENRYK CHOLERAWIECKI  WOJSKA CZESKIEGO 43 BRNO 62769054583333809843784633,128,3584.00
2015-04-06,PRZELEW OBCI¥¯ENIOWY (NADANO 06-04-2015) COS DO PLACENIA  LOKAL  WOJSKA CZESKIEGO 43 BRNO 93862462578803727079899186,-400,3984.00
2015-04-07,PRZELEW UZNANIOWY (NADANO 07-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  DAWID MARKOWSKI  WOJSKA CZESKIEGO 43 BRNO 62659446380161715404612218,128,3856.00
2015-04-08,PRZELEW OBCI¥¯ENIOWY (NADANO 08-04-2015) COS DO PLACENIA  TAURON  WOJSKA CZESKIEGO 43 BRNO 35047931461199974189547724,-314,4170.00
2015-04-10,PRZELEW UZNANIOWY (NADANO 10-04-2015) DAROWIZNA  MICHA£ CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 72021489119727476350383027,383,3787.00
2015-04-11,PRZELEW UZNANIOWY (NADANO 11-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  £UKASZ WARSZAWSKI  WOJSKA CZESKIEGO 43 BRNO 56142034515708465811982111,64,3723.00
2015-04-13,PRZELEW UZNANIOWY (NADANO 13-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  HENRYK KOWALSKI  WOJSKA CZESKIEGO 43 BRNO 22417929446495892847948317,32,3691.00
2015-04-15,PRZELEW UZNANIOWY (NADANO 15-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  HENRYK CHOLERAWIECKI  WOJSKA CZESKIEGO 43 BRNO 89817238515808347262361657,16,3675.00
2015-04-16,PRZELEW OBCI¥¯ENIOWY (NADANO 16-04-2015) COS DO PLACENIA  LOKAL  WOJSKA CZESKIEGO 43 BRNO 95998286143485060726920633,-583,4258.00
2015-04-18,PRZELEW UZNANIOWY (NADANO 18-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  BARTUŒ NOWAK  WOJSKA CZESKIEGO 43 BRNO 50446350358810451520053258,64,4194.00
2015-04-18,PRZELEW UZNANIOWY (NADANO 18-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  £UKASZ WARSZAWSKI  WOJSKA CZESKIEGO 43 BRNO 34364396887866916027067700,32,4162.00
2015-04-19,PRZELEW UZNANIOWY (NADANO 19-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  DAWID RYBSKI  WOJSKA CZESKIEGO 43 BRNO 60387729977985459054978568,32,4130.00
2015-04-20,PRZELEW UZNANIOWY (NADANO 20-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  BARTUŒ NOWAK  WOJSKA CZESKIEGO 43 BRNO 71231335389858335707499674,16,4114.00
2015-04-20,PRZELEW UZNANIOWY (NADANO 20-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  HENRYK CHOLERAWIECKI  WOJSKA CZESKIEGO 43 BRNO 18084039785440376864182474,32,4082.00
2015-04-21,PRZELEW UZNANIOWY (NADANO 21-04-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 04-2015  MAREK STAROWSKI  WOJSKA CZESKIEGO 43 BRNO 65568992628576198567897813,32,4050.00
